rh.aparc.curvind	rh_bankssts_curvind	rh_caudalanteriorcingulate_curvind	rh_caudalmiddlefrontal_curvind	rh_cuneus_curvind	rh_entorhinal_curvind	rh_fusiform_curvind	rh_inferiorparietal_curvind	rh_inferiortemporal_curvind	rh_isthmuscingulate_curvind	rh_lateraloccipital_curvind	rh_lateralorbitofrontal_curvind	rh_lingual_curvind	rh_medialorbitofrontal_curvind	rh_middletemporal_curvind	rh_parahippocampal_curvind	rh_paracentral_curvind	rh_parsopercularis_curvind	rh_parsorbitalis_curvind	rh_parstriangularis_curvind	rh_pericalcarine_curvind	rh_postcentral_curvind	rh_posteriorcingulate_curvind	rh_precentral_curvind	rh_precuneus_curvind	rh_rostralanteriorcingulate_curvind	rh_rostralmiddlefrontal_curvind	rh_superiorfrontal_curvind	rh_superiorparietal_curvind	rh_superiortemporal_curvind	rh_supramarginal_curvind	rh_frontalpole_curvind	rh_temporalpole_curvind	rh_transversetemporal_curvind	rh_insula_curvind	BrainSegVolNotVent	eTIV
011_S_0861.nii	1.4	1.4	4.1	3.5	1.2	9.5	9.6	11.4	1.8	11.5	6.6	6.5	4.7	6.5	1.1	2.1	3.4	2.9	3.1	2.3	5.5	3.6	8.3	9.1	1.2	13.4	17.0	10.5	7.1	8.0	0.8	1.4	1.0	7.1	969788.0	1624006.58674
033_S_0724.nii	0.9	1.5	4.6	3.9	1.7	6.5	10.0	8.2	1.8	12.8	7.8	7.1	3.7	6.5	1.0	3.3	2.7	2.5	3.7	2.9	6.2	1.6	8.8	8.8	2.5	14.1	18.0	8.9	5.4	5.2	0.7	2.0	0.5	6.7	1094181.0	1788265.45769
037_S_0566.nii	1.1	0.9	3.6	4.7	0.4	6.3	8.5	7.9	1.7	9.8	7.2	7.3	3.9	6.3	0.5	3.1	1.3	2.1	3.1	2.4	6.7	2.2	11.7	6.7	1.4	15.2	14.5	9.0	6.0	5.8	0.9	2.1	0.6	8.2	921142.0	1419051.1086
130_S_0423.nii	1.2	0.7	3.5	3.1	1.7	5.5	8.9	5.6	1.1	10.8	6.2	6.1	4.3	5.1	1.1	2.5	1.5	1.0	1.4	2.8	6.9	2.1	7.4	6.3	1.5	11.8	14.4	7.9	5.6	6.3	0.9	1.0	0.6	7.3	1041784.0	1625456.66661
010_S_0786.nii	0.9	1.2	3.6	3.8	0.7	7.2	8.3	5.5	2.3	12.5	6.1	6.8	5.5	5.3	0.6	3.2	1.8	1.7	1.7	3.2	6.8	1.4	8.2	7.4	1.6	10.9	16.3	7.4	4.7	5.8	0.9	1.3	0.4	5.8	994051.0	1573405.33344
012_S_1175.nii	1.1	0.6	3.6	2.8	0.6	5.0	9.5	5.5	2.5	12.0	6.1	8.3	3.6	5.5	0.4	2.6	1.9	1.4	2.6	3.6	6.0	2.2	9.1	6.6	1.0	13.3	14.6	7.6	5.0	6.1	0.7	0.8	0.5	5.1	1126049.0	1612154.18932
012_S_1133.nii	0.9	0.9	2.4	3.3	0.4	3.6	5.2	5.7	1.6	11.0	3.8	6.4	3.1	3.8	0.5	1.7	1.4	1.5	1.7	2.4	4.9	1.6	6.5	4.3	1.0	8.2	15.7	6.0	3.7	5.1	0.7	1.2	0.4	5.9	918283.0	1363500.65397
126_S_1077.nii	0.8	2.0	4.5	4.7	1.3	7.6	10.0	8.4	2.0	13.5	7.9	8.7	4.7	7.0	0.8	3.5	2.2	3.5	3.3	4.8	6.9	2.6	10.2	7.3	1.3	15.9	19.9	12.5	8.0	9.5	1.6	2.0	0.6	8.8	1007118.0	1545152.06932
128_S_0216.nii	1.3	1.0	5.1	4.5	0.5	6.5	11.0	6.1	2.3	12.4	8.8	7.8	4.9	8.5	0.8	3.2	2.1	1.8	3.9	2.8	9.8	1.8	13.0	8.1	1.3	15.0	84.4	8.9	5.4	7.7	1.3	2.1	0.5	7.9	1169279.0	1857097.33668
014_S_0328.nii	0.9	1.1	4.8	3.6	1.0	5.6	8.4	5.6	2.0	9.3	5.9	6.3	5.3	5.3	0.8	2.4	2.6	1.9	2.8	2.5	5.4	2.5	7.0	5.9	1.7	11.7	12.6	7.2	4.7	4.7	0.9	1.0	0.6	9.3	998212.0	1572246.24294
002_S_0559.nii	1.2	1.0	4.8	3.3	0.9	5.7	10.8	7.1	1.6	10.8	8.5	6.7	3.8	8.2	0.6	2.7	2.5	2.8	3.4	2.8	7.9	1.9	9.5	6.6	1.9	15.1	18.9	8.0	7.2	7.7	0.7	1.5	0.7	5.7	1136194.0	1659895.22711
012_S_1212.nii	0.8	0.9	3.5	3.4	0.5	5.1	9.1	6.3	1.8	9.5	5.4	7.0	2.7	6.3	0.6	2.3	2.6	1.6	2.7	2.5	4.8	2.0	6.3	7.3	1.2	8.2	10.1	8.0	4.6	5.9	0.9	1.0	0.5	3.1	1054323.0	1510564.69023
009_S_1030.nii	1.1	1.7	5.6	3.8	0.5	5.7	10.5	8.0	2.5	11.7	8.1	8.1	4.5	8.1	0.4	3.5	2.6	1.7	2.7	3.8	6.7	2.0	13.7	9.0	1.1	12.8	17.7	9.2	6.0	6.8	1.1	1.1	0.5	5.3	1222132.0	1816599.61107
011_S_0003.nii	0.8	1.1	2.8	3.2	1.3	5.3	7.0	5.5	2.0	11.7	4.6	5.8	3.5	4.6	0.6	2.6	1.9	1.5	3.3	2.9	4.3	2.5	8.2	6.6	1.1	10.7	13.1	6.1	4.8	5.9	0.9	1.0	0.4	6.5	1182334.0	1941683.2625
098_S_0149.nii	0.9	1.5	6.0	2.9	1.9	3.9	9.1	6.8	2.1	9.5	9.0	6.7	5.5	6.6	0.4	2.2	2.7	2.6	3.1	2.7	6.3	2.9	10.2	5.2	2.4	13.6	18.0	7.1	6.9	7.5	0.9	1.0	0.6	12.2	1029987.0	1551839.53074
126_S_0506.nii	0.9	1.3	3.6	3.4	0.5	5.3	7.4	4.0	1.3	9.3	4.6	6.5	3.1	4.3	0.5	1.6	1.9	1.1	1.8	3.6	4.2	2.2	6.3	4.7	1.0	11.1	10.3	7.4	4.3	5.0	1.3	0.8	0.3	6.0	1032870.0	1577578.81514
109_S_0876.nii	1.0	0.6	2.4	3.3	0.6	4.5	6.3	4.0	1.1	6.6	3.7	3.7	2.4	3.6	0.6	2.4	1.4	1.0	2.1	1.7	5.2	1.7	6.2	4.5	0.6	9.0	9.8	6.3	3.8	5.2	1.2	0.7	0.3	2.9	785535.0	1205478.01622
133_S_0912.nii	1.2	1.0	3.5	3.6	0.8	4.9	6.8	4.8	1.9	9.5	5.9	7.7	2.7	6.7	0.3	2.3	2.1	1.3	1.5	2.7	6.2	1.9	7.7	4.9	1.0	10.3	13.2	8.0	5.7	7.9	1.0	0.7	0.8	5.3	984346.0	1418356.83749
128_S_1148.nii	1.1	0.8	2.5	3.0	1.0	4.6	7.5	6.1	1.8	10.9	4.9	7.6	3.1	3.4	0.5	2.2	1.7	1.5	1.8	2.8	6.7	2.6	7.0	5.1	2.0	12.8	11.4	8.2	3.3	5.6	1.1	1.1	0.5	4.7	988965.0	1502677.66263
068_S_0802.nii	0.7	0.7	2.4	2.6	0.4	4.5	5.6	5.3	1.0	9.4	4.5	6.2	4.0	4.6	0.3	2.4	1.6	1.8	3.0	2.2	5.0	1.4	7.3	5.9	0.8	9.8	10.4	5.8	4.2	5.4	0.6	0.6	0.5	3.3	1032919.0	1527792.17189
002_S_0954.nii	0.5	0.5	1.7	2.6	0.8	3.5	4.9	4.5	1.2	6.9	4.8	6.5	3.5	3.6	0.4	1.3	2.4	1.6	2.1	3.4	4.4	1.4	5.6	4.1	0.9	8.3	8.0	4.8	3.7	5.5	0.9	1.2	0.3	5.1	803692.0	1215183.44696
128_S_0310.nii	0.9	0.8	3.7	3.6	1.0	7.1	11.6	9.3	2.6	11.1	5.6	6.2	5.1	6.1	0.6	2.3	2.3	1.2	1.9	1.9	5.4	2.1	6.6	7.0	2.2	12.4	14.2	9.5	4.1	7.1	0.8	1.8	0.5	6.4	967918.0	1525913.52777
023_S_1126.nii	1.1	0.7	4.5	3.9	1.0	6.2	9.7	8.7	1.8	10.5	4.8	6.4	3.5	6.3	0.6	2.8	2.9	1.6	3.9	2.7	6.0	2.5	10.0	5.9	1.1	11.9	15.0	8.0	4.6	5.5	1.2	0.8	0.5	3.4	1049048.0	1669963.37916
