rh.aparc.curvind	rh_bankssts_curvind	rh_caudalanteriorcingulate_curvind	rh_caudalmiddlefrontal_curvind	rh_cuneus_curvind	rh_entorhinal_curvind	rh_fusiform_curvind	rh_inferiorparietal_curvind	rh_inferiortemporal_curvind	rh_isthmuscingulate_curvind	rh_lateraloccipital_curvind	rh_lateralorbitofrontal_curvind	rh_lingual_curvind	rh_medialorbitofrontal_curvind	rh_middletemporal_curvind	rh_parahippocampal_curvind	rh_paracentral_curvind	rh_parsopercularis_curvind	rh_parsorbitalis_curvind	rh_parstriangularis_curvind	rh_pericalcarine_curvind	rh_postcentral_curvind	rh_posteriorcingulate_curvind	rh_precentral_curvind	rh_precuneus_curvind	rh_rostralanteriorcingulate_curvind	rh_rostralmiddlefrontal_curvind	rh_superiorfrontal_curvind	rh_superiorparietal_curvind	rh_superiortemporal_curvind	rh_supramarginal_curvind	rh_frontalpole_curvind	rh_temporalpole_curvind	rh_transversetemporal_curvind	rh_insula_curvind	BrainSegVolNotVent	eTIV
016_S_1117.nii	0.9	0.8	3.4	2.9	0.6	4.3	7.9	5.1	1.9	7.2	4.2	5.8	2.9	6.4	0.4	3.0	1.8	1.5	2.9	2.6	6.6	1.9	8.7	6.5	0.6	9.8	14.7	8.6	5.0	5.6	0.6	0.9	0.5	4.9	989209.0	1404416.4177
116_S_0361.nii	1.1	1.3	4.9	5.3	0.8	6.1	12.5	7.9	2.2	11.3	7.2	8.3	5.3	7.8	0.9	3.1	1.7	2.5	4.1	3.7	7.0	2.6	10.6	9.3	1.7	18.2	15.9	10.8	7.8	7.4	1.7	1.3	0.5	14.5	1145276.0	1698892.23843
137_S_0438.nii	1.1	0.5	3.1	2.8	0.6	6.1	11.3	6.2	1.5	11.6	5.8	6.8	4.9	6.8	0.7	2.5	2.3	2.8	3.7	2.7	5.3	1.1	8.0	8.0	1.1	12.6	12.3	8.1	5.6	8.0	1.1	1.0	0.6	10.8	871912.0	1435006.29226
006_S_0731.nii	1.0	1.0	2.4	4.3	0.8	5.1	8.0	5.1	1.5	10.2	6.0	7.2	3.2	4.8	0.6	2.2	1.6	1.5	2.7	4.2	6.2	1.8	9.4	5.2	1.2	11.7	11.3	10.2	4.9	7.6	0.6	3.0	0.4	4.4	1065999.0	1441700.02539
029_S_0914.nii	0.9	1.0	4.8	4.1	1.5	5.8	8.7	6.7	1.4	9.5	6.0	7.8	4.5	5.4	0.6	2.5	3.1	1.3	2.2	3.3	5.2	2.2	8.0	7.2	1.3	10.7	16.7	8.9	5.1	6.3	0.7	1.5	0.4	4.1	1169502.0	1766677.87845
021_S_0753.nii	0.6	0.8	5.0	3.9	0.8	7.4	9.4	9.9	1.1	11.4	7.5	6.7	5.4	7.6	0.5	2.9	2.9	2.5	3.6	2.9	8.6	2.4	10.0	7.8	1.6	16.2	15.3	11.3	5.6	6.3	1.2	0.9	1.0	3.8	1077845.0	1763081.22075
022_S_1097.nii	1.2	1.0	4.2	4.1	0.4	4.2	8.2	6.3	1.6	11.1	6.0	6.9	3.7	4.8	0.4	2.5	1.7	1.3	2.2	3.0	7.6	2.0	9.2	5.9	1.0	10.3	11.6	8.4	5.0	6.6	0.8	0.8	0.4	3.2	1028318.0	1587307.36478
002_S_0938.nii	1.0	1.7	2.8	2.8	1.9	5.0	7.5	7.0	1.7	9.6	5.9	5.5	4.8	4.7	0.8	2.6	2.6	1.8	2.1	2.3	6.1	2.1	8.7	5.9	1.0	11.2	13.7	9.8	5.9	6.1	0.8	1.1	0.6	5.1	917049.0	1360330.58825
109_S_1343.nii	1.6	0.9	4.4	4.2	1.3	7.1	11.8	5.3	1.9	11.3	8.1	7.2	4.2	6.1	0.4	3.8	2.5	2.2	4.1	2.7	6.1	2.9	9.5	9.1	1.4	12.9	14.8	10.8	6.2	6.1	0.7	1.7	0.5	8.0	1046664.0	1659381.32333
002_S_0685.nii	0.6	0.6	3.4	3.2	0.5	4.1	6.5	3.8	1.4	9.6	4.4	6.5	3.1	5.4	0.8	2.6	1.5	1.5	2.1	4.0	6.6	1.5	8.4	5.3	0.6	10.9	14.1	8.1	3.6	4.8	0.8	0.8	0.2	5.1	993335.0	1506710.035
068_S_0476.nii	0.5	0.9	2.3	3.8	0.9	4.9	9.6	6.5	1.6	10.4	4.7	7.8	3.9	5.2	0.8	1.6	1.8	1.8	2.5	3.6	6.4	2.6	6.7	5.9	1.0	12.5	10.5	8.4	4.4	5.8	0.9	1.4	0.4	4.9	904163.0	1440581.63618
137_S_0459.nii	1.5	0.9	3.3	4.0	1.1	7.2	8.9	7.0	1.6	15.7	6.8	8.3	4.1	6.7	0.7	2.3	2.4	1.8	4.0	2.5	5.8	2.4	8.0	8.2	1.0	13.7	13.2	9.0	6.1	7.0	1.1	1.4	0.9	10.7	1041935.0	1586591.68964
027_S_0461.nii	0.8	1.1	2.7	3.5	1.2	6.0	10.1	6.0	2.1	12.4	7.9	8.4	4.8	6.0	0.5	2.8	3.2	1.9	4.5	2.6	6.5	3.7	8.7	8.8	2.1	14.0	13.1	8.0	6.2	7.6	0.9	1.8	0.6	16.3	1065421.0	1658381.22797
072_S_1211.nii	2.2	0.8	6.0	3.5	5.4	7.5	13.6	7.5	1.3	9.9	8.6	6.9	4.9	9.4	0.5	5.5	2.8	2.1	2.7	2.6	9.3	2.3	13.8	8.2	1.1	20.1	22.2	13.7	7.0	9.3	1.3	1.8	0.6	12.8	1091019.0	1659944.62853
037_S_0539.nii	1.1	0.5	2.6	4.0	0.4	5.1	10.5	6.1	2.0	10.0	4.9	7.3	4.1	4.9	0.6	2.7	2.5	1.8	2.3	3.1	6.9	2.3	7.7	6.4	0.4	11.9	11.6	5.8	5.4	6.8	0.4	1.0	0.5	3.7	1013052.0	1604164.29373
082_S_0641.nii	1.1	2.2	5.4	6.0	1.7	7.3	14.0	7.2	3.7	15.4	9.3	8.9	5.0	6.2	0.7	5.0	2.9	4.1	3.7	3.5	10.4	2.5	16.0	10.5	2.5	16.6	22.8	15.1	7.5	9.3	1.3	1.6	0.5	7.7	1090088.0	1905028.40849
137_S_0796.nii	1.6	0.7	6.2	4.5	1.0	6.5	10.9	8.5	3.0	16.0	8.4	10.6	5.7	7.8	0.4	3.3	3.5	3.8	3.0	6.8	8.4	2.7	12.7	12.4	0.9	17.3	16.8	10.4	8.1	7.0	1.5	1.0	0.7	5.3	1180961.0	1903532.79549
128_S_0229.nii	1.1	0.6	3.4	3.0	0.4	4.5	10.3	5.0	1.3	10.5	5.5	7.1	3.5	5.2	0.5	2.3	2.3	1.5	2.6	3.9	5.9	2.4	6.9	5.9	1.7	11.4	11.0	7.6	4.4	6.3	0.8	1.5	0.9	7.3	942497.0	1341718.8063
022_S_0014.nii	0.5	0.7	2.3	3.2	0.4	3.6	6.5	5.1	2.1	8.6	4.8	4.2	3.8	5.8	0.4	2.2	2.0	2.0	2.4	1.7	4.6	2.1	7.7	5.3	0.7	12.2	11.0	6.9	4.2	5.3	1.5	1.2	0.4	5.0	865772.0	1291438.18819
123_S_0050.nii	1.5	1.3	5.6	2.3	1.0	6.6	12.5	11.2	2.6	16.2	9.1	11.7	4.9	10.4	0.6	2.5	3.9	1.6	2.3	4.4	7.9	2.5	9.8	7.8	1.5	15.8	17.8	8.3	7.7	9.4	1.0	2.0	0.4	9.3	1204137.0	1967380.97255
023_S_0376.nii	1.5	0.8	5.4	4.1	0.4	5.4	12.6	8.0	2.6	12.0	5.7	8.1	4.5	5.7	0.7	3.9	2.8	2.6	3.9	2.1	5.9	2.9	11.3	10.5	1.2	11.3	15.9	11.6	6.1	6.8	0.9	1.4	1.0	6.4	1027401.0	1666409.79095
036_S_0672.nii	0.8	1.1	3.5	3.7	1.0	5.6	8.7	7.1	1.7	10.9	5.4	6.9	4.0	5.7	0.7	2.1	1.6	1.7	1.9	3.2	5.3	1.9	7.7	7.3	1.1	8.9	12.7	8.0	5.2	5.1	0.8	1.0	0.3	3.9	1050478.0	1344853.4203
131_S_0497.nii	0.8	1.1	3.9	3.9	0.8	5.1	8.7	9.7	1.5	11.7	7.7	5.8	4.6	6.5	0.4	2.5	3.2	1.5	3.3	2.3	6.0	2.2	7.7	5.7	1.1	12.1	17.1	8.8	5.8	5.6	0.7	1.3	0.4	10.9	1118921.0	1842309.15955
029_S_0866.nii	0.5	0.5	2.2	2.1	0.8	4.8	5.8	4.6	1.0	8.1	4.8	5.2	2.4	4.7	0.4	1.7	1.6	1.0	1.9	1.4	4.3	1.1	5.5	4.0	0.6	7.2	8.2	6.7	3.5	4.0	0.8	0.9	0.3	3.5	936983.0	1370544.20024
126_S_0605.nii	0.9	1.8	3.9	3.8	0.6	6.5	9.1	6.6	1.6	9.7	8.6	7.2	3.3	6.2	0.6	2.6	1.8	1.7	2.6	2.3	5.4	2.6	7.4	4.8	1.3	13.3	12.4	8.7	4.5	5.7	1.0	1.2	0.4	5.9	1180929.0	1768882.9412
032_S_1101.nii	0.7	1.3	2.7	2.6	0.5	5.4	10.4	5.9	2.3	7.5	4.1	4.3	4.3	5.1	0.3	2.1	2.6	1.8	2.2	2.0	4.8	3.0	5.4	7.2	1.0	14.7	14.0	7.2	5.4	5.4	1.9	1.5	0.4	4.6	786062.0	1223425.5934
014_S_0519.nii	0.8	1.1	3.0	3.3	0.6	5.6	7.2	7.9	1.3	10.6	6.6	6.4	3.0	7.4	0.6	2.5	2.3	1.9	2.4	3.1	5.3	2.7	6.9	5.9	1.9	14.4	12.2	6.2	5.2	4.1	1.0	1.5	0.4	3.7	1047538.0	1534899.27256
005_S_0324.nii	0.6	0.7	2.4	2.0	0.4	3.1	6.6	4.0	1.5	7.8	4.8	4.4	3.2	4.5	0.3	1.9	1.7	1.6	2.4	1.3	5.0	1.1	7.3	4.4	0.7	9.3	9.9	7.2	3.3	5.5	1.0	1.1	0.2	2.7	884637.0	1347525.97533
023_S_0030.nii	0.8	2.6	4.0	3.9	0.5	6.2	10.0	6.7	1.9	13.2	7.5	10.4	5.0	6.2	1.4	2.4	1.9	2.2	3.1	4.7	7.1	2.9	12.3	8.2	1.5	12.7	18.4	9.3	5.4	7.9	0.9	1.1	0.4	4.7	1055736.0	1607951.84266
141_S_1255.nii	0.7	1.2	2.0	2.8	0.5	5.4	7.1	6.1	1.4	8.8	5.5	3.7	3.1	3.9	1.0	2.2	1.5	1.5	1.5	1.6	4.9	2.2	7.6	5.3	0.9	9.1	10.1	7.5	4.1	4.8	1.0	1.6	0.6	3.7	835725.0	1301987.72087
141_S_0696.nii	0.9	1.8	3.8	2.9	1.9	6.1	11.3	4.0	0.8	9.7	5.7	6.2	4.3	5.1	0.4	2.0	2.9	1.6	1.9	2.4	5.0	1.3	10.9	6.1	1.0	10.1	12.8	7.8	5.1	6.9	1.0	1.1	0.4	9.0	903708.0	1368493.0083
027_S_0074.nii	0.8	0.8	3.6	3.9	1.2	5.1	8.4	5.3	2.4	12.1	8.3	8.0	5.8	6.3	0.9	1.9	1.6	1.7	2.1	2.8	6.5	2.4	8.5	8.0	0.8	12.4	12.4	8.9	4.4	5.9	1.1	1.2	0.4	12.0	1055852.0	1679025.27322
022_S_1394.nii	1.2	0.7	3.7	4.3	0.6	6.5	10.1	6.3	1.5	13.6	7.7	11.2	4.6	6.7	0.8	2.9	2.2	2.5	3.8	4.7	8.0	2.7	11.2	8.4	1.9	15.2	13.2	11.7	4.6	6.7	1.9	1.6	0.8	3.7	1103195.0	1728855.85317
116_S_0752.nii	0.8	1.1	4.0	4.2	1.0	6.9	11.1	6.4	2.1	15.4	9.9	8.6	6.3	6.3	0.5	4.0	2.7	1.8	3.1	3.5	6.4	2.2	10.9	7.7	1.5	15.2	16.3	8.0	5.7	6.0	1.4	2.0	0.7	6.1	960452.0	1551385.63533
018_S_0450.nii	1.4	1.0	7.4	4.7	1.7	5.9	13.0	13.4	1.9	14.5	7.3	7.4	6.0	11.3	0.6	2.2	2.5	2.9	2.4	1.8	6.3	4.1	10.6	6.8	1.7	19.7	22.7	9.6	7.3	10.0	0.9	1.3	0.5	11.5	1118282.0	1595255.47397
062_S_1182.nii	1.0	0.6	3.1	4.0	0.9	6.0	9.0	6.4	1.5	10.7	6.3	8.8	4.2	5.7	0.6	2.3	2.0	2.0	2.3	4.0	6.1	1.3	8.7	6.2	0.5	12.3	10.6	8.9	5.2	5.9	0.9	0.9	0.6	5.4	1049955.0	1521254.41594
133_S_0525.nii	0.7	0.5	2.4	3.1	0.7	4.3	6.4	5.4	1.7	7.9	4.7	6.4	3.7	5.0	0.4	2.8	1.6	2.3	2.6	2.6	4.3	1.7	7.2	5.6	0.6	11.5	10.0	6.0	3.8	4.7	1.0	1.1	0.3	3.8	884268.0	1281461.96864
062_S_0730.nii	1.2	0.9	3.0	3.4	0.6	4.7	7.1	5.5	1.1	9.1	5.0	6.1	2.7	5.7	0.6	3.0	2.1	1.4	2.0	3.5	5.2	2.3	8.8	6.5	1.0	10.1	11.4	8.0	3.8	4.4	0.7	1.0	0.4	3.6	982699.0	1475622.59948
022_S_0543.nii	0.6	0.7	2.6	2.3	1.1	4.5	8.4	5.9	1.6	9.6	4.0	8.1	3.6	5.3	0.9	2.4	2.0	1.7	2.2	2.6	5.2	1.1	8.0	5.0	1.2	10.8	11.5	7.2	4.6	5.1	1.0	1.2	0.4	4.3	786846.0	1242032.52094
082_S_0304.nii	0.8	0.5	3.4	2.5	1.5	6.2	11.2	8.1	1.7	11.3	8.4	8.1	4.1	6.4	0.8	2.3	3.1	3.0	4.4	2.0	6.6	1.2	12.0	7.9	1.5	11.1	15.1	8.4	5.3	7.2	1.3	1.0	0.5	7.7	1218783.0	1718160.92088
057_S_0643.nii	1.0	0.9	3.4	3.6	0.8	4.4	7.9	5.9	2.5	8.4	5.4	6.3	3.9	4.9	0.5	2.6	2.0	2.4	2.3	4.2	6.2	2.0	10.3	7.3	1.0	11.2	13.2	8.9	5.4	6.0	1.2	1.4	0.6	4.9	1106220.0	1533373.65961
128_S_0715.nii	1.4	1.1	6.3	4.8	0.9	7.2	12.5	9.0	2.9	17.7	6.8	8.9	5.2	10.2	1.1	3.1	2.9	2.6	2.3	4.3	9.1	3.6	12.9	8.4	1.0	15.4	20.5	11.2	6.7	9.5	1.1	1.7	0.9	7.5	963547.0	1534149.98494
023_S_0042.nii	0.9	0.9	3.6	3.0	0.9	6.1	9.4	7.7	2.2	9.8	6.5	5.0	4.4	6.1	0.4	2.7	3.5	2.3	4.0	1.7	7.9	2.0	8.8	7.9	1.5	16.7	15.4	8.2	5.5	5.7	1.5	1.1	0.6	5.5	993469.0	1551186.68865
141_S_1051.nii	1.0	1.5	3.4	3.6	0.7	6.9	10.4	8.8	1.8	11.0	5.7	6.9	3.8	6.3	1.2	2.4	2.1	2.2	2.4	2.1	5.9	1.7	7.9	7.5	1.9	13.6	14.9	8.5	4.1	6.0	1.5	2.1	0.6	9.3	847593.0	1413249.41098
031_S_0867.nii	1.3	1.0	4.0	3.8	0.7	6.0	8.3	6.5	1.3	11.0	6.9	9.1	4.5	7.0	0.7	2.9	3.6	1.6	2.4	2.6	6.6	2.0	8.0	7.7	2.9	14.0	14.5	9.7	5.5	4.9	0.7	1.1	0.4	4.4	1017353.0	1593735.64697
114_S_1103.nii	1.9	0.6	4.1	3.2	0.8	3.8	10.5	6.0	2.2	10.9	4.3	6.9	3.1	5.3	0.5	3.6	2.1	2.0	2.2	3.3	6.5	2.3	9.2	6.4	0.8	10.7	13.1	9.7	5.0	6.3	0.6	0.8	0.4	5.6	1036791.0	1603150.99099
126_S_1187.nii	1.1	0.6	3.7	2.9	0.9	5.0	9.2	8.0	1.3	10.8	5.8	6.6	3.1	6.1	0.5	1.9	2.8	1.8	2.2	2.3	5.4	1.6	7.0	6.4	1.4	13.7	13.7	8.5	4.6	6.9	1.1	1.4	0.6	6.4	1158671.0	1735708.75942
027_S_1277.nii	0.9	0.6	3.5	3.5	0.7	4.1	6.6	5.6	1.2	10.3	5.1	6.5	4.7	4.3	0.7	2.4	1.9	1.6	2.7	2.4	5.2	1.0	7.9	6.2	0.7	11.2	12.6	7.3	3.8	5.6	1.3	0.7	0.3	4.6	994605.0	1669182.32907
012_S_0689.nii	1.0	0.6	6.3	3.7	0.9	5.3	10.8	9.9	3.6	10.4	7.1	7.0	3.9	8.1	0.5	2.7	2.2	3.6	3.7	4.2	8.5	3.3	11.5	9.1	1.2	19.7	24.1	12.0	5.9	9.3	1.7	2.4	0.6	5.7	1223923.0	1779294.42036
141_S_1378.nii	1.2	0.6	3.8	3.6	1.4	5.8	7.6	4.9	1.6	10.1	5.7	8.4	2.6	4.4	0.5	2.1	1.4	2.0	3.4	4.9	5.7	2.2	7.2	5.7	0.8	12.4	12.6	8.1	4.1	6.7	0.7	1.1	0.3	3.7	1060720.0	1517669.6109
027_S_1213.nii	0.9	0.8	5.3	2.7	0.8	5.8	9.3	6.9	1.9	10.6	7.3	6.1	5.2	5.6	0.7	2.3	2.8	1.6	4.3	1.6	6.5	1.9	10.0	6.6	1.6	13.5	13.0	8.0	5.5	6.9	0.7	1.5	0.6	4.6	983857.0	1613978.07165
012_S_0803.nii	1.0	0.9	4.3	2.1	1.3	5.9	8.6	6.6	1.5	10.0	6.2	6.4	3.2	5.4	0.7	3.0	2.0	1.5	2.3	1.7	6.1	2.3	7.8	6.3	2.1	11.2	12.6	8.8	4.7	5.5	0.9	1.1	0.4	8.6	957317.0	1406920.71032
033_S_1086.nii	0.8	0.5	3.5	2.7	0.4	4.5	7.9	4.6	1.2	7.6	4.8	4.9	5.2	6.1	0.3	1.9	1.7	1.1	2.4	1.8	5.0	1.8	7.5	5.4	1.2	8.8	14.9	7.0	3.3	4.8	0.9	0.7	0.3	4.5	1009065.0	1471263.77295
067_S_0607.nii	0.9	0.7	4.6	3.8	0.2	5.5	5.8	5.5	1.5	10.1	5.2	7.6	3.4	5.8	0.4	2.2	1.9	1.6	2.3	3.4	4.8	2.3	7.4	4.7	1.1	9.3	10.1	7.4	3.5	5.1	1.0	0.7	0.4	4.3	918629.0	1323471.58413
067_S_0177.nii	0.8	1.1	3.2	2.8	0.5	5.2	6.1	6.4	1.1	9.3	4.2	4.8	3.3	6.3	1.2	1.7	3.4	0.8	1.4	1.8	5.1	1.4	6.7	3.8	0.7	11.5	13.1	6.8	4.7	5.6	0.8	0.8	0.4	4.0	859639.0	1444486.50105
014_S_0356.nii	0.9	2.2	5.2	2.9	1.6	6.4	9.7	6.6	2.5	10.0	7.9	7.2	4.5	6.8	1.2	3.9	3.8	2.0	3.4	2.2	5.4	2.0	8.3	6.9	1.8	14.4	16.6	9.0	8.1	6.5	1.2	2.1	0.3	7.5	1020117.0	1694347.39238
114_S_0166.nii	1.0	0.5	2.8	3.5	0.3	4.8	8.5	6.7	2.0	8.3	6.3	5.5	2.8	7.4	0.4	2.2	2.2	3.0	3.6	2.5	5.7	2.2	8.3	6.7	1.6	12.8	13.2	9.3	4.4	6.4	0.7	1.3	0.6	6.1	970697.0	1476400.62226
023_S_0331.nii	0.9	0.6	3.2	2.6	0.4	5.4	7.6	3.7	1.7	9.1	3.9	4.4	3.0	4.2	0.4	2.2	1.4	1.6	2.4	2.2	4.4	1.1	6.7	5.4	0.6	9.8	8.9	6.8	3.9	4.4	0.7	0.7	0.3	5.1	1018000.0	1487863.44642
053_S_0507.nii	0.8	1.0	2.2	3.1	0.8	3.3	5.4	3.5	0.9	8.7	3.9	6.0	3.0	3.4	0.3	1.7	1.4	1.2	1.5	2.9	4.2	1.3	4.9	5.1	1.0	8.3	7.3	7.1	2.8	4.4	0.8	1.1	0.3	2.7	879914.0	1290003.93638
018_S_0155.nii	1.7	1.3	4.8	5.1	1.0	7.7	16.2	7.2	2.3	16.2	7.1	7.4	6.3	8.5	0.7	4.1	2.7	2.6	4.1	3.6	9.2	2.4	11.8	10.8	1.4	19.3	22.4	13.1	9.2	10.5	1.6	1.9	0.4	9.9	1062423.0	1742021.77663
128_S_0227.nii	1.1	1.2	3.8	3.3	0.8	3.8	10.2	7.3	1.8	10.1	8.3	6.5	4.7	5.7	0.7	2.1	2.0	2.8	3.7	2.3	6.0	2.4	8.0	7.2	1.1	13.6	9.7	10.3	4.5	6.2	0.8	1.2	0.6	8.7	935619.0	1466100.46022
126_S_0891.nii	0.8	0.9	4.0	3.3	1.4	4.0	7.5	4.3	1.8	9.3	6.4	6.1	5.1	8.1	0.5	2.2	2.1	1.6	2.0	3.0	6.0	1.4	8.3	5.6	1.2	11.7	12.9	8.6	4.3	4.6	0.9	1.0	0.5	4.7	908532.0	1438217.2662
053_S_0621.nii	1.0	0.6	3.1	3.4	0.6	5.1	8.1	6.0	1.6	12.9	6.0	6.1	2.9	6.1	0.8	3.2	2.1	1.5	2.4	2.4	6.7	2.1	10.1	6.7	0.7	12.0	12.3	7.4	4.5	6.3	0.6	0.8	0.6	3.1	1306416.0	1827450.30242
137_S_0283.nii	1.3	1.0	2.7	4.1	0.6	4.8	9.1	6.3	1.8	10.6	7.4	6.8	3.9	4.8	0.8	3.7	2.1	2.2	3.1	2.5	6.2	1.7	8.6	5.3	1.0	11.4	14.1	9.4	5.3	5.8	1.1	0.8	0.4	7.1	1160263.0	1645046.07471
037_S_0552.nii	1.0	0.5	1.8	2.8	0.9	5.0	8.2	5.8	1.1	10.8	4.3	7.0	3.5	4.9	0.4	1.7	1.3	1.2	2.1	3.2	5.6	1.3	7.2	5.4	0.6	7.5	9.6	6.9	4.0	4.8	0.7	0.8	0.5	4.4	942757.0	1468983.46969
010_S_0420.nii	1.0	1.0	2.9	4.1	0.8	5.2	5.7	4.4	2.1	12.5	6.3	8.5	5.1	4.5	0.6	3.0	1.4	1.4	2.6	2.1	4.6	2.9	7.0	6.1	1.9	11.2	14.0	7.4	4.5	5.4	1.2	1.0	0.5	6.0	1074998.0	1435642.16851
007_S_0068.nii	0.9	1.0	3.7	3.3	0.8	6.1	5.8	4.6	1.6	11.2	5.2	6.8	5.0	4.7	0.4	2.6	2.0	1.4	1.2	3.0	5.5	1.8	8.2	5.6	0.3	11.3	13.0	6.7	4.0	4.3	1.2	1.0	0.4	4.2	960833.0	1381692.3831
109_S_0950.nii	0.9	1.0	3.6	3.7	0.9	3.5	7.6	3.7	1.4	10.8	5.5	5.4	3.8	4.3	0.3	2.8	1.9	1.7	3.4	3.5	4.8	1.7	7.4	5.7	0.9	10.6	11.2	8.8	3.9	4.3	1.0	0.9	0.6	3.2	926591.0	1610753.13841
029_S_0843.nii	1.0	2.0	3.7	4.2	0.8	4.3	9.2	7.1	1.7	9.9	5.2	7.1	3.6	4.5	0.9	3.1	2.2	1.4	3.1	3.0	7.6	3.0	9.5	6.6	1.9	12.4	12.0	8.7	5.9	6.7	0.8	2.2	0.6	6.2	1091978.0	1679847.68166
099_S_1034.nii	1.1	0.6	3.5	3.9	0.8	5.4	9.9	6.1	1.2	11.8	4.9	7.9	4.9	5.4	0.5	3.1	2.1	2.1	2.2	2.8	6.0	1.5	9.3	8.0	1.4	14.9	14.0	9.0	4.6	5.7	1.4	1.3	0.5	6.4	1200051.0	1858947.26372
141_S_1152.nii	1.6	0.9	6.1	4.6	0.5	4.7	10.0	6.9	2.2	11.4	7.1	7.6	4.3	8.4	0.6	3.1	2.0	1.8	1.9	2.9	6.1	2.8	10.2	8.0	0.9	11.1	20.3	10.0	6.5	6.0	0.8	0.9	0.5	11.6	851658.0	1365904.07054
037_S_0454.nii	0.8	0.9	3.2	4.1	0.5	5.5	10.5	5.2	1.9	11.3	7.9	7.4	2.9	5.9	0.8	2.1	2.0	2.4	3.6	3.0	6.3	2.2	8.5	6.1	1.6	11.5	10.6	9.7	4.6	6.0	1.1	1.0	0.5	4.8	973345.0	1440760.46184
014_S_1095.nii	1.0	1.3	3.7	3.3	1.8	7.0	9.5	8.0	2.4	8.8	8.1	7.4	4.4	6.9	1.0	2.0	2.9	4.3	3.9	2.1	5.7	2.3	9.3	7.9	1.6	12.8	16.7	8.6	8.2	7.1	0.9	2.9	0.4	9.1	982626.0	1598660.01833
023_S_0061.nii	1.2	1.3	4.4	3.3	1.7	4.8	8.1	4.7	1.7	8.7	8.1	6.1	3.3	6.8	0.8	2.8	3.2	4.0	3.2	2.8	6.0	2.2	8.2	6.6	1.4	13.1	13.0	6.4	4.8	6.2	1.0	1.0	0.8	8.9	960078.0	1455375.8741
136_S_0695.nii	0.7	1.2	3.3	4.8	0.6	5.2	10.2	5.8	1.6	14.1	4.6	6.9	4.0	10.6	0.8	2.1	1.5	1.4	2.8	4.3	7.0	1.8	8.8	7.0	2.4	11.8	10.1	10.3	4.6	8.6	0.7	1.4	0.4	6.0	1119454.0	1730073.36464
141_S_1004.nii	1.7	1.1	2.2	3.0	0.5	5.9	7.4	5.3	1.3	7.9	5.2	5.5	2.5	5.7	0.4	2.6	1.6	1.3	2.6	3.3	5.1	1.5	6.6	5.3	1.6	8.8	10.7	8.5	4.1	6.2	0.9	1.2	0.6	4.9	893807.0	1462149.45158
114_S_0979.nii	1.0	0.8	2.8	2.9	0.7	4.2	9.5	6.5	1.4	10.5	5.1	5.7	2.5	5.6	0.4	2.4	1.4	1.5	2.3	2.6	5.2	2.1	7.5	5.0	0.8	11.2	13.3	7.5	4.3	4.3	0.6	1.2	0.3	3.1	948934.0	1618600.69067
100_S_1062.nii	0.9	0.9	3.7	3.1	0.5	4.5	7.9	4.9	2.0	9.2	6.2	7.3	5.2	4.7	0.6	1.7	2.6	2.0	3.0	2.2	5.0	2.3	7.3	6.6	0.9	10.1	11.8	8.8	3.9	5.9	1.0	0.9	0.4	4.1	1088669.0	1624972.26497
109_S_0777.nii	0.9	1.2	2.7	3.0	0.8	5.0	6.9	4.7	1.0	9.1	6.8	4.8	4.1	4.3	0.4	3.6	1.8	1.9	1.9	2.3	5.8	2.1	10.1	5.9	0.6	11.7	12.5	7.5	4.1	5.3	0.8	1.1	0.6	4.8	1027329.0	1494595.85036
027_S_0307.nii	0.8	0.6	3.0	2.8	0.6	3.9	8.4	6.6	1.6	9.4	4.1	6.0	3.1	5.5	0.7	1.8	1.5	1.0	2.4	2.7	5.3	1.6	6.6	5.3	1.0	10.6	10.3	7.9	3.9	6.0	0.8	1.0	0.4	3.7	1009510.0	1497267.902
018_S_0055.nii	0.9	0.6	3.5	2.8	1.0	5.5	7.9	7.0	2.0	10.3	8.2	6.5	4.2	5.8	0.6	3.2	1.9	1.8	2.6	2.9	4.8	1.3	9.1	8.5	0.7	11.7	11.9	6.7	5.7	5.9	0.9	1.2	0.6	4.9	1160395.0	1864795.39059
130_S_0956.nii	0.6	1.2	3.0	3.4	0.6	4.6	6.3	5.1	2.0	10.3	4.1	6.3	3.4	5.1	0.5	2.4	2.1	1.6	2.3	3.5	4.1	2.6	7.2	5.8	1.3	9.4	11.7	6.1	4.3	4.8	0.7	0.8	0.4	3.5	1050762.0	1396831.25164
114_S_0601.nii	0.9	0.8	3.0	2.3	0.9	4.5	9.0	7.3	2.2	11.2	4.6	6.3	3.2	5.4	0.4	2.3	1.6	1.1	2.1	2.1	5.5	1.8	8.1	5.2	1.0	10.6	13.1	8.1	3.4	5.8	0.6	1.3	0.4	5.2	987425.0	1638802.002
116_S_1315.nii	0.7	1.0	3.7	4.3	0.4	5.7	7.5	5.5	1.1	11.5	6.0	9.1	2.5	5.6	0.5	2.7	2.9	1.3	2.8	4.6	6.3	2.1	9.7	7.0	0.9	9.5	13.5	9.6	3.9	5.7	0.6	1.1	0.5	7.8	1004210.0	1487073.02814
114_S_0458.nii	0.8	1.3	3.3	3.1	0.4	3.4	9.0	5.7	1.2	10.5	4.5	6.8	2.6	5.2	0.6	2.1	1.7	1.6	2.2	2.8	4.7	1.9	8.8	4.7	1.0	11.5	13.0	7.4	4.7	5.1	1.0	0.8	0.5	4.2	893319.0	1360942.68036
