rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
052_S_0952.nii	12.0	14.0	31.0	25.0	5.0	48.0	71.0	44.0	12.0	93.0	51.0	54.0	35.0	57.0	7.0	14.0	16.0	12.0	20.0	16.0	67.0	22.0	60.0	62.0	15.0	110.0	101.0	105.0	43.0	67.0	7.0	10.0	3.0	27.0	856085.0	1326287.15477
141_S_0852.nii	9.0	12.0	54.0	31.0	13.0	53.0	104.0	48.0	22.0	98.0	55.0	67.0	46.0	65.0	9.0	19.0	18.0	15.0	23.0	24.0	57.0	32.0	89.0	80.0	24.0	122.0	146.0	90.0	52.0	56.0	12.0	10.0	5.0	43.0	925696.0	1375117.13867
029_S_1218.nii	10.0	19.0	35.0	27.0	7.0	57.0	79.0	64.0	21.0	93.0	45.0	56.0	44.0	53.0	6.0	19.0	18.0	20.0	24.0	15.0	48.0	28.0	63.0	54.0	20.0	106.0	120.0	79.0	49.0	53.0	9.0	9.0	6.0	42.0	920496.0	1398046.07477
029_S_0824.nii	7.0	14.0	28.0	29.0	6.0	49.0	76.0	52.0	17.0	75.0	44.0	57.0	45.0	56.0	6.0	13.0	18.0	17.0	24.0	18.0	47.0	24.0	58.0	52.0	14.0	105.0	117.0	61.0	46.0	50.0	8.0	7.0	4.0	38.0	985849.0	1518686.51068
099_S_0291.nii	9.0	22.0	20.0	38.0	4.0	42.0	79.0	52.0	20.0	81.0	42.0	59.0	43.0	59.0	10.0	17.0	22.0	25.0	29.0	16.0	55.0	28.0	64.0	52.0	18.0	104.0	151.0	65.0	53.0	47.0	11.0	9.0	6.0	29.0	979255.0	1564936.16792
023_S_1289.nii	11.0	18.0	31.0	25.0	5.0	61.0	68.0	58.0	22.0	72.0	59.0	46.0	35.0	55.0	4.0	12.0	13.0	13.0	18.0	17.0	43.0	22.0	64.0	54.0	7.0	93.0	95.0	86.0	45.0	65.0	10.0	10.0	5.0	46.0	921423.0	1377859.63959
041_S_1368.nii	7.0	32.0	28.0	22.0	6.0	41.0	73.0	42.0	19.0	75.0	63.0	37.0	38.0	56.0	4.0	16.0	12.0	15.0	20.0	13.0	46.0	33.0	63.0	55.0	14.0	81.0	89.0	69.0	46.0	35.0	6.0	15.0	5.0	35.0	881447.0	1477418.51513
037_S_0150.nii	11.0	20.0	39.0	35.0	8.0	55.0	100.0	70.0	23.0	113.0	54.0	63.0	47.0	57.0	7.0	28.0	17.0	24.0	17.0	33.0	55.0	26.0	65.0	55.0	23.0	123.0	123.0	79.0	47.0	63.0	12.0	8.0	8.0	49.0	1126984.0	1662269.98583
005_S_0223.nii	9.0	16.0	31.0	28.0	8.0	51.0	75.0	61.0	18.0	105.0	39.0	57.0	47.0	67.0	6.0	18.0	20.0	16.0	27.0	22.0	52.0	30.0	63.0	57.0	15.0	113.0	122.0	72.0	42.0	45.0	8.0	10.0	3.0	44.0	969407.0	1442230.85056
002_S_0729.nii	9.0	19.0	29.0	29.0	7.0	51.0	81.0	55.0	11.0	75.0	39.0	55.0	31.0	53.0	5.0	23.0	20.0	12.0	21.0	20.0	47.0	23.0	63.0	56.0	7.0	101.0	106.0	87.0	44.0	52.0	8.0	7.0	4.0	39.0	911642.0	1271205.23773
