rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
130_S_0969.nii	9.0	15.0	32.0	30.0	6.0	58.0	76.0	71.0	19.0	99.0	51.0	49.0	40.0	63.0	6.0	16.0	15.0	15.0	17.0	24.0	53.0	30.0	61.0	56.0	14.0	128.0	108.0	77.0	50.0	54.0	9.0	7.0	3.0	30.0	1066663.0	1473920.77166
009_S_1199.nii	7.0	25.0	34.0	35.0	8.0	61.0	98.0	74.0	21.0	95.0	58.0	89.0	59.0	78.0	7.0	17.0	28.0	20.0	39.0	39.0	50.0	30.0	62.0	73.0	23.0	97.0	100.0	91.0	69.0	65.0	13.0	10.0	7.0	60.0	1208122.0	1690325.64122
114_S_1106.nii	8.0	22.0	21.0	23.0	6.0	51.0	60.0	40.0	19.0	86.0	47.0	57.0	41.0	50.0	8.0	12.0	18.0	18.0	21.0	23.0	40.0	24.0	46.0	57.0	18.0	90.0	104.0	70.0	61.0	50.0	10.0	9.0	6.0	30.0	960072.0	1463796.78558
007_S_1206.nii	7.0	14.0	26.0	33.0	8.0	66.0	77.0	60.0	17.0	88.0	60.0	66.0	40.0	55.0	8.0	19.0	26.0	16.0	23.0	34.0	49.0	30.0	67.0	59.0	24.0	96.0	121.0	68.0	43.0	49.0	9.0	7.0	4.0	34.0	1190273.0	1748683.96598
100_S_0015.nii	9.0	22.0	20.0	34.0	4.0	52.0	70.0	50.0	22.0	112.0	67.0	75.0	44.0	54.0	6.0	19.0	16.0	18.0	25.0	25.0	57.0	29.0	66.0	61.0	16.0	91.0	106.0	76.0	41.0	46.0	14.0	8.0	5.0	29.0	1003924.0	1489266.14192
033_S_0889.nii	6.0	16.0	21.0	30.0	10.0	47.0	74.0	52.0	16.0	78.0	50.0	61.0	46.0	48.0	9.0	19.0	15.0	16.0	15.0	20.0	50.0	17.0	57.0	58.0	13.0	76.0	87.0	97.0	48.0	53.0	11.0	13.0	4.0	20.0	832514.0	1417207.49545
024_S_1393.nii	7.0	32.0	26.0	43.0	15.0	51.0	92.0	64.0	30.0	110.0	56.0	77.0	44.0	66.0	8.0	32.0	30.0	22.0	28.0	45.0	68.0	35.0	83.0	77.0	16.0	117.0	139.0	110.0	54.0	69.0	19.0	14.0	8.0	30.0	1054001.0	1730395.60006
136_S_0873.nii	9.0	16.0	32.0	26.0	3.0	53.0	66.0	56.0	18.0	98.0	43.0	72.0	41.0	58.0	5.0	18.0	20.0	12.0	21.0	26.0	43.0	18.0	52.0	53.0	10.0	97.0	114.0	75.0	39.0	48.0	8.0	7.0	7.0	36.0	888113.0	1423590.59784
082_S_0832.nii	7.0	12.0	40.0	37.0	11.0	74.0	95.0	75.0	16.0	83.0	62.0	46.0	59.0	61.0	7.0	25.0	27.0	19.0	33.0	47.0	66.0	21.0	78.0	72.0	12.0	141.0	157.0	107.0	46.0	72.0	11.0	10.0	5.0	29.0	1093116.0	1800845.59128
007_S_1222.nii	12.0	14.0	21.0	27.0	6.0	61.0	100.0	58.0	21.0	96.0	42.0	50.0	36.0	56.0	6.0	15.0	17.0	13.0	18.0	28.0	46.0	22.0	52.0	58.0	8.0	112.0	112.0	69.0	48.0	52.0	11.0	8.0	7.0	38.0	939179.0	1360009.41214
033_S_0567.nii	10.0	28.0	21.0	39.0	8.0	48.0	87.0	82.0	19.0	103.0	52.0	67.0	52.0	55.0	8.0	17.0	15.0	18.0	22.0	16.0	42.0	33.0	54.0	55.0	12.0	90.0	101.0	72.0	52.0	47.0	9.0	10.0	4.0	34.0	994109.0	1625608.33381
016_S_0538.nii	10.0	26.0	37.0	45.0	8.0	91.0	102.0	87.0	25.0	113.0	58.0	72.0	46.0	71.0	7.0	24.0	28.0	18.0	27.0	34.0	55.0	39.0	63.0	69.0	22.0	144.0	157.0	92.0	59.0	66.0	12.0	14.0	5.0	43.0	1113116.0	1683250.44852
033_S_0511.nii	10.0	18.0	27.0	36.0	9.0	59.0	56.0	61.0	17.0	93.0	54.0	67.0	37.0	39.0	7.0	13.0	18.0	15.0	19.0	26.0	42.0	16.0	49.0	51.0	10.0	95.0	88.0	67.0	34.0	47.0	7.0	9.0	3.0	26.0	1081392.0	1600144.75775
002_S_1280.nii	7.0	21.0	23.0	34.0	4.0	56.0	78.0	53.0	24.0	88.0	51.0	44.0	39.0	60.0	8.0	17.0	15.0	16.0	18.0	17.0	58.0	27.0	61.0	67.0	15.0	73.0	96.0	88.0	42.0	71.0	8.0	10.0	6.0	25.0	957370.0	1398438.95996
100_S_0892.nii	4.0	15.0	32.0	32.0	5.0	53.0	98.0	65.0	12.0	109.0	58.0	55.0	38.0	70.0	5.0	16.0	15.0	17.0	24.0	18.0	47.0	23.0	59.0	59.0	21.0	130.0	99.0	78.0	44.0	54.0	9.0	9.0	4.0	42.0	975312.0	1359362.65243
114_S_0173.nii	11.0	17.0	31.0	34.0	16.0	62.0	74.0	64.0	24.0	104.0	57.0	75.0	51.0	67.0	8.0	22.0	19.0	16.0	19.0	23.0	50.0	33.0	78.0	61.0	18.0	107.0	117.0	83.0	52.0	82.0	6.0	12.0	6.0	48.0	1114287.0	1674597.80262
036_S_0577.nii	6.0	11.0	29.0	35.0	6.0	41.0	94.0	62.0	22.0	102.0	134.0	61.0	39.0	47.0	7.0	15.0	16.0	13.0	19.0	22.0	50.0	21.0	54.0	58.0	9.0	104.0	122.0	91.0	34.0	43.0	10.0	14.0	4.0	21.0	939288.0	1410801.72029
116_S_0370.nii	10.0	15.0	36.0	40.0	5.0	64.0	112.0	59.0	22.0	92.0	44.0	68.0	47.0	58.0	7.0	19.0	27.0	16.0	28.0	31.0	58.0	26.0	73.0	78.0	13.0	104.0	116.0	115.0	54.0	68.0	15.0	8.0	8.0	32.0	960266.0	1506968.04893
141_S_1137.nii	3.0	20.0	18.0	32.0	12.0	56.0	67.0	54.0	20.0	79.0	39.0	51.0	51.0	49.0	7.0	16.0	17.0	23.0	24.0	16.0	48.0	24.0	54.0	46.0	11.0	85.0	115.0	76.0	37.0	59.0	9.0	6.0	4.0	35.0	863461.0	1332031.25496
010_S_0422.nii	10.0	21.0	33.0	40.0	7.0	55.0	102.0	63.0	31.0	108.0	59.0	73.0	48.0	73.0	8.0	17.0	16.0	16.0	27.0	35.0	59.0	26.0	85.0	79.0	15.0	97.0	104.0	91.0	47.0	69.0	9.0	10.0	8.0	52.0	1195105.0	1699535.36276
136_S_1227.nii	5.0	25.0	27.0	32.0	4.0	41.0	75.0	62.0	16.0	85.0	46.0	51.0	45.0	60.0	8.0	10.0	23.0	11.0	24.0	20.0	56.0	28.0	52.0	44.0	10.0	86.0	97.0	60.0	46.0	47.0	9.0	8.0	7.0	48.0	928116.0	1407314.60064
057_S_1265.nii	6.0	17.0	21.0	26.0	5.0	51.0	66.0	54.0	19.0	78.0	53.0	58.0	36.0	44.0	4.0	14.0	21.0	15.0	22.0	15.0	38.0	25.0	64.0	133.0	11.0	92.0	106.0	70.0	45.0	47.0	12.0	7.0	5.0	21.0	872911.0	1318681.92118
016_S_0702.nii	7.0	18.0	25.0	40.0	4.0	71.0	98.0	74.0	12.0	124.0	56.0	66.0	41.0	68.0	7.0	20.0	20.0	22.0	23.0	26.0	60.0	18.0	78.0	79.0	17.0	123.0	105.0	93.0	62.0	74.0	13.0	9.0	4.0	46.0	955494.0	1654687.69791
016_S_0354.nii	3.0	15.0	25.0	37.0	7.0	128.0	94.0	58.0	18.0	89.0	57.0	61.0	46.0	69.0	7.0	25.0	28.0	18.0	31.0	18.0	60.0	27.0	63.0	63.0	18.0	115.0	146.0	72.0	53.0	57.0	11.0	15.0	8.0	38.0	991443.0	1534940.50462
041_S_0446.nii	6.0	12.0	32.0	24.0	9.0	60.0	110.0	72.0	17.0	66.0	49.0	45.0	45.0	49.0	8.0	19.0	17.0	16.0	21.0	14.0	56.0	20.0	75.0	51.0	5.0	107.0	121.0	59.0	55.0	38.0	8.0	11.0	6.0	28.0	896571.0	1450583.46153
133_S_1031.nii	8.0	19.0	25.0	32.0	4.0	52.0	87.0	46.0	17.0	95.0	65.0	49.0	47.0	62.0	4.0	18.0	22.0	19.0	23.0	15.0	48.0	25.0	65.0	54.0	7.0	131.0	114.0	85.0	51.0	46.0	8.0	11.0	4.0	31.0	895679.0	1432506.70842
035_S_0341.nii	12.0	17.0	21.0	32.0	7.0	44.0	91.0	69.0	30.0	83.0	48.0	59.0	49.0	55.0	6.0	16.0	20.0	22.0	36.0	27.0	45.0	28.0	54.0	56.0	18.0	114.0	133.0	71.0	58.0	52.0	12.0	9.0	3.0	36.0	1092848.0	1836269.98399
128_S_0272.nii	7.0	18.0	28.0	38.0	6.0	51.0	108.0	64.0	23.0	100.0	57.0	91.0	46.0	65.0	10.0	14.0	14.0	16.0	25.0	32.0	46.0	28.0	65.0	66.0	14.0	108.0	114.0	86.0	43.0	57.0	8.0	8.0	2.0	36.0	1106470.0	1565167.88848
067_S_0257.nii	6.0	14.0	26.0	29.0	7.0	51.0	71.0	43.0	17.0	80.0	45.0	61.0	34.0	57.0	6.0	10.0	17.0	13.0	12.0	19.0	44.0	23.0	60.0	51.0	17.0	79.0	116.0	63.0	43.0	55.0	6.0	9.0	4.0	39.0	858681.0	1333757.32014
128_S_0522.nii	18.0	24.0	30.0	40.0	7.0	62.0	108.0	62.0	24.0	109.0	60.0	66.0	57.0	67.0	8.0	19.0	21.0	20.0	37.0	33.0	52.0	30.0	64.0	66.0	25.0	124.0	103.0	93.0	53.0	55.0	9.0	10.0	7.0	52.0	1103496.0	1751607.73092
130_S_0449.nii	10.0	15.0	27.0	33.0	5.0	65.0	103.0	60.0	19.0	107.0	52.0	57.0	32.0	57.0	6.0	18.0	19.0	18.0	18.0	21.0	57.0	26.0	62.0	64.0	21.0	113.0	109.0	85.0	39.0	47.0	9.0	8.0	4.0	42.0	997346.0	1482782.26723
141_S_1245.nii	7.0	21.0	21.0	32.0	8.0	66.0	105.0	63.0	20.0	96.0	52.0	68.0	39.0	54.0	6.0	19.0	17.0	19.0	31.0	20.0	47.0	30.0	61.0	63.0	16.0	97.0	91.0	99.0	41.0	62.0	10.0	7.0	4.0	49.0	946443.0	1354393.91582
128_S_0245.nii	10.0	35.0	30.0	28.0	5.0	53.0	89.0	79.0	24.0	97.0	63.0	67.0	45.0	74.0	6.0	23.0	29.0	18.0	28.0	25.0	52.0	33.0	60.0	65.0	15.0	138.0	129.0	98.0	61.0	74.0	11.0	8.0	6.0	40.0	1003287.0	1522904.99783
116_S_1249.nii	10.0	24.0	25.0	31.0	5.0	36.0	69.0	56.0	21.0	89.0	46.0	57.0	38.0	50.0	5.0	19.0	17.0	14.0	20.0	23.0	55.0	30.0	65.0	51.0	12.0	109.0	101.0	70.0	38.0	47.0	10.0	7.0	5.0	30.0	963517.0	1380609.13584
010_S_0161.nii	8.0	13.0	26.0	29.0	5.0	52.0	63.0	56.0	25.0	126.0	50.0	91.0	44.0	56.0	7.0	10.0	19.0	15.0	27.0	40.0	58.0	25.0	53.0	50.0	8.0	96.0	86.0	65.0	47.0	55.0	9.0	6.0	5.0	35.0	1012896.0	1421224.15081
016_S_1326.nii	8.0	25.0	57.0	39.0	6.0	54.0	118.0	84.0	25.0	125.0	68.0	88.0	49.0	90.0	7.0	23.0	32.0	21.0	29.0	23.0	75.0	38.0	83.0	86.0	21.0	124.0	123.0	110.0	71.0	74.0	11.0	11.0	10.0	37.0	1266880.0	1971397.49657
123_S_0113.nii	11.0	38.0	30.0	27.0	5.0	63.0	96.0	64.0	18.0	94.0	59.0	47.0	46.0	54.0	5.0	19.0	15.0	15.0	17.0	18.0	57.0	22.0	67.0	47.0	15.0	106.0	100.0	85.0	52.0	54.0	8.0	9.0	5.0	24.0	1084277.0	1767550.7551
020_S_0097.nii	13.0	18.0	24.0	33.0	5.0	61.0	75.0	69.0	14.0	96.0	51.0	55.0	41.0	75.0	7.0	20.0	26.0	16.0	18.0	22.0	52.0	24.0	59.0	63.0	14.0	104.0	115.0	76.0	56.0	77.0	12.0	12.0	6.0	35.0	1141124.0	1691631.8228
131_S_1301.nii	12.0	21.0	31.0	39.0	6.0	49.0	92.0	59.0	28.0	102.0	61.0	81.0	61.0	60.0	7.0	26.0	18.0	15.0	22.0	34.0	57.0	30.0	58.0	75.0	11.0	94.0	95.0	83.0	49.0	49.0	6.0	8.0	4.0	30.0	1105463.0	1588692.31065
033_S_1309.nii	9.0	13.0	36.0	36.0	5.0	66.0	101.0	51.0	25.0	113.0	53.0	75.0	45.0	65.0	6.0	15.0	15.0	20.0	22.0	22.0	59.0	24.0	65.0	64.0	12.0	101.0	135.0	102.0	64.0	62.0	9.0	9.0	7.0	40.0	1044463.0	1612206.5157
007_S_1304.nii	7.0	18.0	33.0	26.0	7.0	58.0	95.0	50.0	18.0	71.0	46.0	42.0	50.0	58.0	9.0	16.0	14.0	16.0	18.0	13.0	51.0	33.0	58.0	47.0	7.0	106.0	116.0	54.0	43.0	44.0	9.0	11.0	4.0	31.0	866888.0	1320487.38075
041_S_0898.nii	8.0	15.0	34.0	29.0	5.0	54.0	89.0	77.0	20.0	93.0	59.0	61.0	47.0	49.0	5.0	22.0	28.0	14.0	26.0	20.0	50.0	27.0	52.0	59.0	14.0	113.0	138.0	71.0	46.0	71.0	9.0	7.0	7.0	34.0	1034583.0	1603256.68352
041_S_1010.nii	11.0	27.0	40.0	43.0	6.0	53.0	107.0	94.0	28.0	120.0	50.0	68.0	51.0	79.0	7.0	22.0	18.0	25.0	28.0	37.0	66.0	32.0	68.0	74.0	11.0	132.0	139.0	95.0	46.0	59.0	7.0	13.0	4.0	46.0	1189857.0	1630245.21632
033_S_1283.nii	4.0	23.0	23.0	27.0	7.0	49.0	77.0	58.0	26.0	89.0	47.0	56.0	55.0	47.0	6.0	15.0	16.0	17.0	20.0	24.0	44.0	17.0	51.0	48.0	14.0	93.0	110.0	79.0	42.0	48.0	8.0	11.0	4.0	40.0	1042951.0	1774460.12038
035_S_0204.nii	8.0	23.0	25.0	32.0	10.0	57.0	80.0	54.0	21.0	86.0	60.0	59.0	49.0	56.0	6.0	13.0	21.0	17.0	27.0	22.0	44.0	24.0	60.0	67.0	11.0	110.0	83.0	83.0	35.0	45.0	11.0	9.0	5.0	30.0	967083.0	1519037.31141
006_S_0498.nii	15.0	34.0	33.0	30.0	6.0	56.0	123.0	68.0	17.0	91.0	60.0	55.0	40.0	75.0	9.0	15.0	19.0	20.0	41.0	15.0	43.0	28.0	66.0	63.0	17.0	124.0	132.0	78.0	65.0	63.0	10.0	13.0	6.0	71.0	1119220.0	1554964.17731
067_S_0110.nii	4.0	22.0	29.0	28.0	8.0	45.0	79.0	63.0	22.0	91.0	50.0	48.0	37.0	68.0	6.0	14.0	17.0	14.0	26.0	50.0	41.0	28.0	52.0	54.0	26.0	101.0	94.0	70.0	35.0	45.0	9.0	7.0	4.0	31.0	1070370.0	1711582.91583
018_S_0633.nii	7.0	21.0	34.0	32.0	7.0	51.0	76.0	48.0	20.0	95.0	55.0	63.0	48.0	60.0	9.0	19.0	20.0	23.0	31.0	28.0	56.0	23.0	71.0	72.0	11.0	110.0	121.0	90.0	43.0	52.0	11.0	11.0	5.0	41.0	883454.0	1366259.67695
141_S_0717.nii	9.0	18.0	59.0	48.0	9.0	61.0	95.0	77.0	25.0	139.0	80.0	74.0	53.0	73.0	11.0	23.0	29.0	20.0	22.0	40.0	59.0	29.0	92.0	74.0	17.0	149.0	151.0	97.0	53.0	58.0	11.0	10.0	4.0	46.0	1214597.0	1824032.30377
041_S_1411.nii	9.0	29.0	48.0	34.0	8.0	61.0	103.0	53.0	18.0	111.0	71.0	66.0	52.0	72.0	15.0	22.0	22.0	29.0	21.0	26.0	79.0	29.0	82.0	65.0	16.0	136.0	137.0	102.0	56.0	62.0	14.0	10.0	7.0	49.0	1234696.0	1868497.47216
052_S_1054.nii	7.0	20.0	19.0	27.0	8.0	55.0	70.0	69.0	14.0	80.0	37.0	51.0	49.0	55.0	8.0	19.0	15.0	15.0	19.0	17.0	52.0	23.0	62.0	61.0	12.0	102.0	89.0	80.0	42.0	60.0	9.0	10.0	6.0	39.0	980035.0	1580222.32098
005_S_1341.nii	5.0	16.0	25.0	35.0	9.0	54.0	81.0	57.0	24.0	96.0	49.0	78.0	42.0	71.0	6.0	18.0	17.0	17.0	23.0	32.0	55.0	33.0	54.0	68.0	12.0	92.0	83.0	90.0	35.0	57.0	9.0	14.0	5.0	59.0	879941.0	1305677.50973
136_S_0299.nii	3.0	19.0	25.0	32.0	6.0	48.0	100.0	52.0	19.0	77.0	52.0	69.0	43.0	58.0	5.0	15.0	18.0	21.0	23.0	26.0	47.0	26.0	47.0	48.0	13.0	110.0	133.0	112.0	41.0	51.0	10.0	7.0	5.0	32.0	872065.0	1377947.70482
036_S_1240.nii	7.0	24.0	35.0	40.0	6.0	61.0	82.0	54.0	24.0	101.0	60.0	77.0	54.0	84.0	7.0	17.0	19.0	21.0	28.0	32.0	53.0	35.0	60.0	57.0	18.0	126.0	110.0	77.0	50.0	64.0	10.0	11.0	8.0	38.0	1058820.0	1622350.33163
131_S_0123.nii	8.0	22.0	28.0	29.0	5.0	54.0	70.0	44.0	21.0	92.0	54.0	58.0	35.0	51.0	10.0	15.0	17.0	20.0	19.0	20.0	45.0	25.0	65.0	59.0	9.0	86.0	126.0	65.0	47.0	52.0	7.0	7.0	4.0	19.0	954295.0	1397743.30666
126_S_0784.nii	9.0	18.0	34.0	30.0	6.0	47.0	88.0	65.0	17.0	93.0	55.0	69.0	36.0	69.0	4.0	18.0	23.0	13.0	23.0	29.0	59.0	31.0	57.0	61.0	26.0	105.0	118.0	91.0	47.0	69.0	7.0	9.0	3.0	28.0	882296.0	1378353.55441
027_S_0417.nii	4.0	9.0	35.0	33.0	8.0	51.0	99.0	57.0	23.0	100.0	64.0	58.0	70.0	59.0	7.0	24.0	29.0	18.0	18.0	31.0	54.0	14.0	63.0	72.0	12.0	119.0	134.0	84.0	51.0	67.0	8.0	15.0	5.0	58.0	1254016.0	1845540.08546
062_S_0578.nii	6.0	15.0	23.0	20.0	5.0	51.0	78.0	60.0	17.0	76.0	39.0	43.0	38.0	52.0	4.0	14.0	12.0	12.0	19.0	13.0	47.0	28.0	51.0	39.0	14.0	87.0	81.0	59.0	44.0	51.0	8.0	9.0	5.0	36.0	929904.0	1354567.81386
016_S_1121.nii	13.0	16.0	32.0	31.0	7.0	61.0	95.0	81.0	25.0	120.0	58.0	55.0	104.0	69.0	8.0	19.0	18.0	21.0	23.0	28.0	60.0	28.0	71.0	57.0	10.0	120.0	116.0	68.0	49.0	46.0	11.0	11.0	5.0	39.0	1148738.0	1771418.15654
073_S_0518.nii	8.0	19.0	22.0	40.0	10.0	56.0	88.0	66.0	20.0	88.0	58.0	63.0	48.0	69.0	7.0	17.0	18.0	27.0	25.0	25.0	72.0	24.0	69.0	59.0	16.0	116.0	115.0	74.0	52.0	71.0	13.0	10.0	6.0	46.0	1048543.0	1487512.27137
021_S_0141.nii	13.0	23.0	34.0	32.0	9.0	59.0	93.0	81.0	17.0	127.0	74.0	65.0	43.0	73.0	6.0	20.0	26.0	14.0	22.0	29.0	61.0	24.0	72.0	74.0	21.0	91.0	112.0	108.0	51.0	70.0	12.0	9.0	6.0	40.0	1143119.0	1656556.58465
123_S_0094.nii	7.0	26.0	33.0	38.0	6.0	57.0	82.0	67.0	20.0	111.0	70.0	69.0	50.0	54.0	6.0	21.0	13.0	22.0	20.0	199.0	73.0	39.0	75.0	57.0	16.0	122.0	109.0	85.0	41.0	59.0	8.0	9.0	7.0	35.0	1069444.0	1585153.97066
031_S_0554.nii	8.0	12.0	24.0	24.0	7.0	49.0	85.0	61.0	19.0	68.0	37.0	60.0	36.0	46.0	17.0	11.0	16.0	9.0	20.0	24.0	38.0	18.0	48.0	59.0	9.0	97.0	74.0	66.0	40.0	40.0	8.0	9.0	4.0	46.0	977337.0	1499541.84649
130_S_0783.nii	8.0	11.0	31.0	23.0	13.0	54.0	77.0	59.0	22.0	75.0	45.0	45.0	52.0	42.0	8.0	22.0	17.0	17.0	19.0	26.0	45.0	24.0	64.0	53.0	7.0	114.0	116.0	75.0	52.0	64.0	9.0	8.0	4.0	42.0	987280.0	1482316.63509
013_S_1035.nii	5.0	26.0	31.0	34.0	5.0	54.0	91.0	67.0	19.0	97.0	76.0	50.0	41.0	53.0	9.0	18.0	31.0	16.0	40.0	22.0	52.0	22.0	65.0	74.0	12.0	126.0	133.0	85.0	62.0	53.0	13.0	9.0	5.0	22.0	1007162.0	1626881.96654
035_S_0555.nii	5.0	23.0	24.0	30.0	5.0	62.0	99.0	69.0	18.0	96.0	50.0	68.0	57.0	70.0	5.0	22.0	21.0	19.0	22.0	33.0	48.0	23.0	52.0	61.0	26.0	120.0	149.0	79.0	51.0	66.0	10.0	12.0	6.0	42.0	1196377.0	1807866.22286
130_S_1290.nii	6.0	12.0	57.0	31.0	4.0	46.0	73.0	49.0	19.0	88.0	46.0	55.0	51.0	49.0	7.0	21.0	23.0	27.0	13.0	19.0	36.0	22.0	49.0	53.0	9.0	89.0	108.0	81.0	70.0	71.0	11.0	8.0	4.0	20.0	924600.0	1411049.25116
018_S_0369.nii	7.0	16.0	28.0	33.0	7.0	51.0	75.0	69.0	27.0	89.0	53.0	86.0	49.0	57.0	11.0	15.0	11.0	13.0	13.0	35.0	52.0	16.0	61.0	53.0	7.0	89.0	109.0	79.0	41.0	59.0	7.0	7.0	10.0	28.0	1054851.0	1620626.73252
100_S_0296.nii	6.0	18.0	27.0	37.0	6.0	58.0	92.0	69.0	32.0	109.0	54.0	80.0	43.0	72.0	7.0	17.0	25.0	21.0	29.0	38.0	58.0	29.0	59.0	70.0	14.0	111.0	106.0	88.0	48.0	61.0	11.0	13.0	6.0	48.0	1106528.0	1550468.49038
123_S_0298.nii	6.0	13.0	32.0	33.0	6.0	43.0	94.0	75.0	19.0	98.0	54.0	68.0	38.0	64.0	6.0	19.0	17.0	18.0	18.0	24.0	45.0	18.0	57.0	61.0	14.0	97.0	101.0	72.0	52.0	57.0	8.0	9.0	4.0	36.0	1063275.0	1485423.27934
114_S_0410.nii	8.0	18.0	21.0	36.0	3.0	64.0	76.0	54.0	24.0	99.0	46.0	68.0	38.0	52.0	9.0	24.0	17.0	16.0	27.0	31.0	61.0	29.0	61.0	66.0	13.0	103.0	101.0	78.0	41.0	56.0	9.0	11.0	4.0	33.0	1079037.0	1510930.46759
133_S_0727.nii	11.0	26.0	29.0	36.0	10.0	53.0	71.0	49.0	21.0	90.0	44.0	64.0	46.0	53.0	8.0	23.0	23.0	14.0	29.0	28.0	48.0	29.0	67.0	63.0	21.0	116.0	82.0	77.0	38.0	48.0	7.0	9.0	5.0	28.0	962577.0	1466396.59416
032_S_0147.nii	10.0	23.0	29.0	32.0	5.0	44.0	79.0	56.0	19.0	91.0	48.0	77.0	51.0	53.0	6.0	18.0	18.0	15.0	32.0	27.0	42.0	35.0	51.0	59.0	13.0	107.0	112.0	88.0	49.0	49.0	14.0	8.0	6.0	65.0	1124057.0	1642746.66073
013_S_1205.nii	9.0	16.0	38.0	40.0	11.0	46.0	85.0	59.0	22.0	95.0	57.0	64.0	53.0	73.0	9.0	17.0	21.0	14.0	25.0	22.0	61.0	24.0	74.0	73.0	17.0	129.0	140.0	101.0	71.0	72.0	7.0	14.0	5.0	35.0	934293.0	1411350.74216
012_S_0637.nii	5.0	14.0	28.0	40.0	5.0	48.0	64.0	63.0	21.0	87.0	44.0	72.0	41.0	54.0	5.0	14.0	17.0	15.0	21.0	27.0	40.0	29.0	44.0	46.0	12.0	97.0	102.0	67.0	46.0	53.0	8.0	7.0	5.0	48.0	975706.0	1479936.96386
037_S_0588.nii	9.0	20.0	31.0	42.0	7.0	60.0	83.0	67.0	18.0	89.0	67.0	57.0	45.0	59.0	9.0	18.0	19.0	22.0	30.0	24.0	48.0	26.0	69.0	60.0	12.0	108.0	114.0	84.0	60.0	57.0	11.0	9.0	6.0	36.0	1048804.0	1551579.62434
137_S_0800.nii	12.0	18.0	26.0	26.0	10.0	55.0	97.0	84.0	21.0	78.0	44.0	61.0	46.0	67.0	6.0	17.0	22.0	13.0	30.0	19.0	49.0	23.0	56.0	64.0	16.0	109.0	106.0	77.0	46.0	75.0	11.0	11.0	5.0	41.0	1003554.0	1499388.57707
033_S_0739.nii	7.0	16.0	23.0	35.0	10.0	55.0	85.0	54.0	20.0	102.0	42.0	48.0	49.0	57.0	9.0	22.0	21.0	15.0	33.0	24.0	52.0	27.0	59.0	58.0	8.0	112.0	133.0	84.0	47.0	68.0	9.0	8.0	7.0	36.0	1040412.0	1626413.54918
024_S_0985.nii	4.0	12.0	25.0	25.0	5.0	45.0	57.0	50.0	14.0	78.0	42.0	54.0	44.0	37.0	6.0	17.0	12.0	12.0	17.0	21.0	43.0	20.0	38.0	42.0	5.0	90.0	83.0	62.0	41.0	44.0	9.0	8.0	3.0	23.0	858356.0	1346870.16191
023_S_1247.nii	11.0	22.0	25.0	36.0	7.0	47.0	72.0	49.0	18.0	77.0	57.0	53.0	46.0	52.0	6.0	20.0	20.0	21.0	21.0	13.0	46.0	28.0	64.0	70.0	16.0	90.0	106.0	88.0	37.0	59.0	10.0	9.0	3.0	37.0	950377.0	1436578.98104
041_S_1435.nii	4.0	18.0	25.0	28.0	7.0	61.0	88.0	60.0	22.0	88.0	49.0	64.0	62.0	87.0	7.0	18.0	19.0	20.0	31.0	30.0	56.0	25.0	70.0	61.0	20.0	110.0	115.0	85.0	44.0	47.0	13.0	14.0	5.0	31.0	1059890.0	1596215.47231
023_S_0078.nii	16.0	30.0	49.0	31.0	6.0	59.0	125.0	79.0	26.0	151.0	58.0	69.0	49.0	84.0	7.0	27.0	18.0	26.0	27.0	38.0	61.0	28.0	88.0	86.0	18.0	149.0	185.0	99.0	54.0	61.0	10.0	12.0	5.0	49.0	1054784.0	1661497.29646
073_S_1357.nii	8.0	15.0	29.0	15.0	11.0	65.0	115.0	91.0	27.0	94.0	52.0	67.0	35.0	76.0	11.0	22.0	14.0	13.0	18.0	19.0	67.0	30.0	65.0	54.0	18.0	94.0	114.0	74.0	63.0	64.0	6.0	11.0	5.0	28.0	1093715.0	1620906.42945
128_S_1088.nii	13.0	20.0	29.0	35.0	8.0	57.0	95.0	79.0	28.0	110.0	48.0	73.0	42.0	64.0	6.0	15.0	15.0	18.0	19.0	31.0	72.0	24.0	70.0	52.0	13.0	99.0	108.0	90.0	36.0	45.0	10.0	10.0	3.0	29.0	1011224.0	1599794.65255
036_S_0748.nii	9.0	19.0	28.0	33.0	4.0	59.0	79.0	80.0	23.0	106.0	59.0	67.0	51.0	78.0	7.0	21.0	22.0	15.0	23.0	32.0	44.0	30.0	60.0	69.0	17.0	121.0	120.0	85.0	58.0	63.0	12.0	9.0	4.0	42.0	1179746.0	1800336.1166
